Target URL,Source URL,Anchor Text,Source Crawl Date,Source First Found Date,FlagNoFollow,FlagImageLink,FlagRedirect,FlagFrame,FlagOldCrawl,FlagAltText,FlagMention,SourceCitationFlow,SourceTrustFlow,TargetCitationFlow,TargetTrustFlow,SourceTopicalTrustFlow_Topic_0,SourceTopicalTrustFlow_Value_0,RefDomainTopicalTrustFlow_Topic_0,RefDomainTopicalTrustFlow_Value_0
http://susansheehangallery.com/,https://www.agora-gallery.com/CHZ/ny_art_galleries.aspx,susan sheehan gallery,2021-05-10,2020-12-12,+,,,,,,,0,0,20,10,,,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/FR/ny_art_galleries.aspx,susan sheehan gallery,2021-06-20,2020-12-06,+,,,,,,,0,0,20,10,,,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/GER/ny_art_galleries.aspx,susan sheehan gallery,2021-05-23,2020-12-11,+,,,,,,,0,0,20,10,,,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/ITA/ny_art_galleries.aspx,susan sheehan gallery,2021-06-12,2020-12-11,+,,,,,,,0,0,20,10,,,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/RU/ny_art_galleries.aspx,susan sheehan gallery,2021-05-23,2020-11-17,+,,,,,,,0,0,20,10,,,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/SP/ny_art_galleries.aspx,susan sheehan gallery,2021-05-23,2020-11-16,+,,,,,,,0,0,20,10,,,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/Sp/ny_art_galleries.aspx,susan sheehan gallery,2021-05-04,2020-11-16,+,,,,,,,0,0,20,10,,,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/chz/ny_art_galleries.aspx,susan sheehan gallery,2021-06-12,2020-12-12,+,,,,,,,17,25,20,10,Arts/Art History,25,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/fr/ny_art_galleries.aspx,susan sheehan gallery,2021-06-27,2020-11-27,+,,,,,,,21,28,20,10,Arts/Art History,28,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/ger/ny_art_galleries.aspx,susan sheehan gallery,2021-06-28,2020-11-20,+,,,,,,,21,28,20,10,Arts/Art History,28,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/ita/ny_art_galleries.aspx,susan sheehan gallery,2021-06-29,2020-11-27,+,,,,,,,21,28,20,10,Arts/Art History,28,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/jap/ny_art_galleries.aspx,susan sheehan gallery,2021-06-28,2020-11-27,+,,,,,,,22,28,20,10,Arts/Art History,28,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/ny_art_galleries.aspx,susan sheehan gallery,2021-05-22,2020-12-27,+,,,,,,,40,48,20,10,Arts/Art History,48,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/ru/ny_art_galleries.aspx,susan sheehan gallery,2021-07-01,2020-12-26,+,,,,,,,22,28,20,10,Arts/Art History,28,Arts/Art History,60
http://susansheehangallery.com/,https://www.agora-gallery.com/sp/ny_art_galleries.aspx,susan sheehan gallery,2021-06-27,2020-11-27,+,,,,,,,23,28,20,10,Arts/Art History,28,Arts/Art History,60
http://susansheehangallery.com/,https://artmiamimagazine.com/new-york-art-galleries/,susan sheehan,2021-06-05,2021-01-17,+,,,,,,,0,0,20,10,,,Arts/Movies,5
http://susansheehangallery.com/,https://similarzone.com/sites-alternative-to-barbaraellmann.com,susansheehangallery.com,2021-05-13,2021-05-13,+,,,,,,,0,0,20,10,,,,
http://susansheehangallery.com/,https://similarzone.com/sites-alternative-to-lanzastudio.blogspot.com,susansheehangallery.com,2021-04-22,2021-01-23,+,,,,,,,0,0,20,10,,,,
http://susansheehangallery.com/,https://www.surfacemag.com/the-list/profile/susan-sheehan-gallery/,http://susansheehangallery.com,2021-04-24,2020-12-14,,,,,,,,11,12,20,10,Arts/Design,11,Arts/Design,29
http://susansheehangallery.com/,https://www.thearmoryshow.com/info/past-exhibitors/2018/insights/sheehan,susansheehangallery.com,2021-06-28,2020-12-19,,,,,,,,5,0,20,10,,,Business/Business Services,28
http://susansheehangallery.com/,https://www.thearmoryshow.com/info/past-exhibitors/2019/insights/sheehan,susansheehangallery.com,2021-05-09,2020-12-20,,,,,,,,6,0,20,10,,,Business/Business Services,28
http://susansheehangallery.com/,https://www.thearmoryshow.com/info/past-exhibitors/2020/perspectives/sheehan,susansheehangallery.com,2021-05-02,2021-05-02,,,,,,,,9,9,20,10,Business/Business Services,9,Business/Business Services,28
http://susansheehangallery.com/,https://gmap.io/dns/domain/SUSANSHEEHANGALLERY.COM,,2021-06-09,2020-12-16,,+,,,,,,0,0,20,10,,,,
http://susansheehangallery.com/,https://www.websitegrade.net/en/domain/susansheehangallery.com/b8sS5e9121d2c7caa,susansheehangallery.com,2021-04-22,2021-01-31,,,,,,,,0,0,20,10,,,Sports/Table Tennis,1
http://susansheehangallery.com/,https://www.websitegrade.net/en/domain/susansheehangallery.com/b8sS5e9121d2c7caa,http://susansheehangallery.com/,2021-04-22,2021-01-31,+,,,,,,,0,0,20,10,,,Sports/Table Tennis,1
http://susansheehangallery.com/,https://www.ifpdaviewingrooms.org/ifpda-viewing-room/vija-celmins:-the-image-redescribed,click to visit website,2021-06-21,2021-02-22,,,,,,,,11,14,20,10,Arts/Art History,14,Arts/Art History,21
http://susansheehangallery.com/,https://www.siteprice.org/similar-websites/flagartfoundation.org,www.susansheehangallery.com,2021-04-28,2021-04-28,+,+,,,,,,0,0,20,10,,,Business/Consumer Goods and Services,38
http://susansheehangallery.com/,https://retail.regionaldirectory.us/art-supplies/new-york.htm,susan sheehan gallery incorporated,2021-04-21,2021-01-31,,,,,,,,14,12,20,10,Business/Small Business,12,Business/Small Business,36
https://susansheehangallery.com/,https://99sitedirectory.com/website-list-281/,susansheehangallery,2021-06-23,2021-06-23,,,,,,,,14,0,28,7,,,,
https://susansheehangallery.com/,https://bestsitesdirectory.com/website-list-281/,susansheehangallery,2021-06-28,2021-06-28,,,,,,,,14,0,28,7,,,,
https://susansheehangallery.com/,https://bilalarticles.com/website-list-281/,susansheehangallery,2021-07-06,2021-05-07,,,,,,,,14,0,28,7,,,Home/Gardening,3
https://susansheehangallery.com/,https://bulkwebtools.com/search/susansheehangallery.com/,,2021-06-20,2021-06-20,+,+,,,,,,2,0,28,7,,,Computers/Internet,6
https://susansheehangallery.com/,https://busniessdirectory.com/website-list-281/,susansheehangallery,2021-06-26,2021-06-26,,,,,,,,14,0,28,7,,,,
https://susansheehangallery.com/,https://classifieddirectoy.com/website-list-281/,susansheehangallery,2021-06-27,2021-06-27,,,,,,,,14,0,28,7,,,,
https://susansheehangallery.com/,https://clicktoselldirectoy.com/website-list-281/,susansheehangallery,2021-06-24,2021-06-24,,,,,,,,14,0,28,7,,,,
https://susansheehangallery.com/,https://listodirectory.com/website-list-281/,susansheehangallery,2021-06-28,2021-06-28,,,,,,,,14,0,28,7,,,,
https://susansheehangallery.com/,https://rankwebdirectory.com/website-list-281/,susansheehangallery,2021-06-23,2021-06-23,,,,,,,,14,0,28,7,,,,
https://susansheehangallery.com/,https://raretopsitesdirectory.com/website-list-281/,susansheehangallery,2021-06-26,2021-06-26,,,,,,,,14,0,28,7,,,,
https://susansheehangallery.com/,https://www.worldwidetopsite.com/2020/12/website-list-178.html?utm_source=nomics&utm_medium=backlinks&utm_campaign=crypto_product_guides,susansheehangallery,2021-03-21,2021-03-21,,,,,,,,0,0,28,7,,,Society/Politics,17
https://susansheehangallery.com/,https://b2b.io/company/susan-sheehan-gallery,susansheehangallery.com,2021-04-11,2020-12-14,,,,,,,,0,0,28,7,,,Health/Mental Health,17
